,temp,hour_rain,total_rain,date,humidity,wind_direction,wind,wind_gust,pressure,solar,dewpoint,station
0,14.7,0.0,0.0,2018-10-31 23:04:52,89.0,158.0,0.3,1.8,1020.2,0.0,12.9,IDRSING3
1,14.6,0.0,0.0,2018-10-31 23:09:40,90.0,177.0,2.6,3.5,1019.9,0.0,13.0,IDRSING3
2,14.4,0.0,0.0,2018-10-31 23:12:52,91.0,175.0,0.0,0.0,1020.2,0.0,13.0,IDRSING3
3,14.3,0.0,0.0,2018-10-31 23:19:38,92.0,148.0,4.0,9.3,1019.9,0.0,13.1,IDRSING3
4,14.2,0.0,0.0,2018-10-31 23:24:52,92.0,160.0,2.6,5.5,1019.9,0.0,13.0,IDRSING3
5,14.2,0.0,0.0,2018-10-31 23:29:31,91.0,193.0,1.4,1.8,1019.9,0.0,12.8,IDRSING3
6,14.4,0.0,0.0,2018-10-31 23:34:44,88.0,153.0,1.4,1.8,1019.9,0.0,12.4,IDRSING3
7,14.4,0.0,0.0,2018-10-31 23:39:48,89.0,165.0,1.4,1.8,1019.9,0.0,12.6,IDRSING3
8,14.4,0.0,0.0,2018-10-31 23:44:52,89.0,128.0,2.1,3.5,1019.5,0.0,12.6,IDRSING3
9,14.2,0.0,0.0,2018-10-31 23:49:24,91.0,199.0,0.3,1.8,1019.9,0.0,12.8,IDRSING3
10,14.2,0.0,0.0,2018-10-31 23:54:44,90.0,177.0,2.9,3.5,1019.9,0.0,12.6,IDRSING3
11,14.2,0.0,0.0,2018-10-31 23:59:48,91.0,167.0,0.0,0.0,1019.5,0.0,12.8,IDRSING3
12,14.1,0.0,0.0,2018-11-01 00:04:52,90.0,178.0,2.1,3.5,1019.9,0.0,12.5,IDRSING3
13,14.2,0.0,0.0,2018-11-01 00:09:40,89.0,178.0,1.8,1.8,1019.5,0.0,12.4,IDRSING3
14,14.2,0.0,0.0,2018-11-01 00:14:44,89.0,160.0,1.1,1.8,1019.9,0.0,12.4,IDRSING3
15,14.1,0.0,0.0,2018-11-01 00:19:48,90.0,170.0,5.0,7.2,1019.9,0.0,12.5,IDRSING3
16,14.2,0.0,0.0,2018-11-01 00:24:52,90.0,153.0,1.4,1.8,1019.9,0.0,12.6,IDRSING3
17,14.1,0.0,0.0,2018-11-01 00:29:40,90.0,159.0,0.0,0.0,1019.9,0.0,12.5,IDRSING3
18,13.9,0.0,0.0,2018-11-01 00:34:44,91.0,157.0,0.3,1.8,1019.9,0.0,12.5,IDRSING3
19,13.9,0.0,0.0,2018-11-01 00:39:48,91.0,159.0,0.3,1.8,1019.9,0.0,12.5,IDRSING3
20,13.9,0.0,0.0,2018-11-01 00:44:52,89.0,166.0,1.8,1.8,1019.9,0.0,12.1,IDRSING3
21,14.1,0.0,0.0,2018-11-01 00:48:52,87.0,181.0,1.1,1.8,1019.5,0.0,12.0,IDRSING3
22,14.0,0.0,0.0,2018-11-01 00:54:34,89.0,78.0,4.7,7.2,1019.9,0.0,12.2,IDRSING3
23,13.9,0.0,0.0,2018-11-01 00:59:32,89.0,141.0,4.0,5.5,1019.5,0.0,12.1,IDRSING3
24,13.6,0.0,0.0,2018-11-01 01:04:52,93.0,160.0,1.1,1.8,1019.5,0.0,12.5,IDRSING3
25,13.3,0.0,0.0,2018-11-01 01:09:24,95.0,194.0,0.6,1.8,1019.5,0.0,12.5,IDRSING3
26,13.0,0.0,0.0,2018-11-01 01:14:44,97.0,119.0,1.8,1.8,1019.2,0.0,12.6,IDRSING3
27,13.0,0.0,0.0,2018-11-01 01:19:32,97.0,186.0,1.1,1.8,1019.5,0.0,12.6,IDRSING3
28,12.9,0.0,0.0,2018-11-01 01:24:52,98.0,150.0,1.8,3.5,1019.2,0.0,12.6,IDRSING3
29,12.8,0.0,0.0,2018-11-01 01:29:40,99.0,134.0,1.1,3.5,1019.2,0.0,12.6,IDRSING3
