,date,Date,Time,temp,dewpoint,humidity,wind_direction,wind,wind_gust,pressure,hour_rain,total_rain,UV,solar,station
0,2021-04-30 22:04:00+00:00,2021/05/01,12:04 AM,13.89,-2.11,33.0,SSW,0.0,0.0,1010.16,0.0,0.0,0.0,0.0,IDRSING3
1,2021-04-30 22:09:00+00:00,2021/05/01,12:09 AM,13.67,-2.72,32.0,SW,0.16,0.48,1010.16,0.0,0.0,0.0,0.0,IDRSING3
2,2021-04-30 22:14:00+00:00,2021/05/01,12:14 AM,13.5,-2.44,33.0,SW,0.0,0.0,1010.16,0.0,0.0,0.0,0.0,IDRSING3
3,2021-04-30 22:19:00+00:00,2021/05/01,12:19 AM,13.56,-1.89,34.0,SW,0.0,0.0,1010.16,0.0,0.0,0.0,0.0,IDRSING3
4,2021-04-30 22:24:00+00:00,2021/05/01,12:24 AM,13.61,-1.89,34.0,SW,0.0,0.0,1010.16,0.0,0.0,0.0,0.0,IDRSING3
5,2021-04-30 22:29:00+00:00,2021/05/01,12:29 AM,13.72,-1.5,35.0,SW,0.0,0.0,1010.16,0.0,0.0,0.0,0.0,IDRSING3
6,2021-04-30 22:34:00+00:00,2021/05/01,12:34 AM,13.72,-1.28,36.0,SSW,0.32,0.97,1010.16,0.0,0.0,0.0,0.0,IDRSING3
7,2021-04-30 22:39:00+00:00,2021/05/01,12:39 AM,13.67,-2.0,34.0,SW,0.16,0.32,1010.16,0.0,0.0,0.0,0.0,IDRSING3
8,2021-04-30 22:44:00+00:00,2021/05/01,12:44 AM,13.39,-2.83,32.0,SW,0.16,0.32,1009.82,0.0,0.0,0.0,0.0,IDRSING3
9,2021-04-30 22:49:00+00:00,2021/05/01,12:49 AM,13.17,-3.44,31.0,SW,0.0,0.0,1009.82,0.0,0.0,0.0,0.0,IDRSING3
10,2021-04-30 22:54:00+00:00,2021/05/01,12:54 AM,12.94,-4.11,30.0,SW,0.0,0.0,1010.16,0.0,0.0,0.0,0.0,IDRSING3
