,MinT,MaxT,MeanT,TotR,TotS
2023-01-01,-0.7200,11.1700,2.9495,0.5100,0.6607
2023-01-02,-0.1100,7.7200,4.2536,0.0000,0.3237
2023-01-03,-0.5600,6.6700,4.3970,0.2500,0.5710
2023-01-04,-2.7800,9.2800,2.8586,3.3000,0.7814
2023-01-05,7.5000,11.8300,9.6740,2.2900,0.4895
2023-01-06,1.0600,11.1700,7.4606,0.0000,0.7363
2023-01-07,1.1700,10.7200,6.5283,0.0000,0.5516
2023-01-08,1.5600,6.8300,5.3065,0.0000,0.2059
2023-01-09,0.7800,8.7800,5.3607,8.8900,0.2875
2023-01-10,4.8900,7.7800,5.8059,4.8300,0.4475
2023-01-11,-2.3300,6.8300,3.6488,3.3000,0.7479
2023-01-12,2.0000,10.7800,6.1526,0.5100,0.8307
2023-01-13,3.1100,6.7800,5.2674,2.0300,0.5832
2023-01-14,1.0000,10.2200,5.9191,1.2700,0.8263
2023-01-15,3.5000,6.6100,4.8758,11.9400,0.2776
2023-01-16,1.2200,5.0000,3.4293,0.0000,0.5876
2023-01-17,-0.5600,6.1100,2.5391,1.7800,0.5944
2023-01-18,-0.4400,7.0600,2.7674,1.5200,0.9340
2023-01-19,-1.3300,2.4400,1.3243,0.0000,0.2931
2023-01-20,-3.7200,1.3900,-0.7064,0.0000,0.7316
2023-01-21,-0.7800,1.0000,-0.1484,0.0000,0.7079
2023-01-22,-0.5000,0.5000,0.1475,0.5100,0.5700
2023-01-23,-0.1100,4.0000,1.7439,1.2700,0.7631
2023-01-24,1.0000,4.1100,2.6320,0.0000,0.7710
2023-01-25,0.2200,2.2800,1.1679,0.0000,0.1918
2023-01-26,0.0000,1.8900,0.6468,0.5100,0.3280
2023-01-27,-1.2200,1.5000,-0.2003,0.0000,0.4799
2023-01-28,-1.1100,0.8900,0.0382,0.0000,0.5538
2023-01-29,-5.6700,0.3900,,0.0000,0.8198
2023-01-30,-7.7200,4.0600,-0.3445,0.0000,0.5613
2023-01-31,1.5000,6.0600,3.5558,0.5100,0.9441
2023-02-01,0.6700,7.5600,4.2026,2.5400,0.8806
2023-02-02,1.7800,5.8900,3.3330,0.0000,0.6000
2023-02-03,-0.2800,6.2200,3.3152,8.3800,0.2880
2023-02-04,-0.8900,6.2200,2.4346,0.0000,0.8777
2023-02-05,-5.3300,1.1100,-2.0146,0.0000,1.1355
2023-02-06,-6.2800,-0.2200,-3.8506,0.0000,1.2553
2023-02-07,-8.2200,0.6100,-4.3202,0.0000,1.4692
2023-02-08,-10.1700,4.0000,-4.0884,0.0000,1.5362
2023-02-09,-7.6100,3.2800,-1.5887,0.0000,1.6334
2023-02-10,-8.2800,4.8900,-1.8380,0.0000,1.5992
2023-02-11,-6.4400,6.2200,1.5369,0.0000,0.9567
2023-02-12,0.2800,10.2800,5.8361,0.0000,1.9127
2023-02-13,-0.1100,8.2800,3.7746,0.0000,0.8773
2023-02-14,-3.6100,6.4400,3.8651,0.0000,0.8095
2023-02-15,-6.5000,4.5000,-1.4454,0.0000,1.0704
2023-02-16,-5.3300,3.3900,-1.8475,0.0000,0.8587
2023-02-17,-4.2200,11.5000,4.9935,1.5200,0.8594
2023-02-18,9.3300,14.5600,12.2211,1.2700,0.7333
2023-02-19,2.0600,13.1100,8.2112,5.0800,0.7888
2023-02-20,2.0000,12.2800,6.4310,0.2500,1.7974
2023-02-21,3.3900,13.8900,9.1678,0.0000,2.0235
2023-02-22,2.4400,15.2800,8.5933,0.0000,1.9129
2023-02-23,-0.5600,12.8900,6.8186,0.0000,1.9072
2023-02-24,5.2800,14.6100,9.2982,2.2900,1.5943
2023-02-25,0.8300,9.3300,5.0359,2.5400,2.6884
2023-02-26,-0.7200,3.6100,1.0469,0.2500,1.4487
2023-02-27,-2.5000,4.5000,0.6676,0.0000,1.8149
2023-02-28,-5.0000,6.6100,0.2415,0.0000,2.3539
2023-03-01,-2.7800,9.8900,2.5005,0.0000,2.4137
2023-03-02,-2.0600,11.5600,2.9197,0.0000,2.5892
2023-03-03,-4.1100,10.7200,2.6527,0.0000,2.4761
2023-03-04,-5.8900,9.0000,1.3652,0.0000,2.6991
2023-03-05,1.7800,4.7200,3.0525,0.0000,0.6630
2023-03-06,-0.1700,7.2200,3.4263,0.0000,1.4515
2023-03-07,-3.2800,9.8900,3.1762,0.0000,2.2799
2023-03-08,-0.1700,11.7200,7.4680,0.5100,1.8594
2023-03-09,3.3300,16.2200,10.0548,0.2500,2.2557
2023-03-10,0.2800,17.0000,10.0642,0.0000,2.7412
2023-03-11,-2.6700,10.1100,4.3710,0.0000,1.5391
2023-03-12,-6.0000,9.0000,2.7865,0.0000,3.2000
2023-03-13,4.1100,14.0000,9.5872,0.0000,1.6543
2023-03-14,5.7200,11.8900,9.1907,0.5100,0.6407
2023-03-15,0.8900,9.2800,5.5109,0.0000,2.8760
2023-03-16,-4.3300,9.7800,2.6298,0.0000,3.5848
2023-03-17,-7.1700,12.5600,4.8344,0.0000,3.3682
2023-03-18,3.5000,15.0000,8.7598,0.0000,3.4097
2023-03-19,0.8900,15.2800,8.6255,0.0000,3.1859
2023-03-20,-0.8900,17.8900,9.2216,0.0000,2.8912
2023-03-21,6.2200,18.5600,12.0050,0.0000,3.6424
2023-03-22,4.3300,20.6100,12.7110,0.0000,3.5067
2023-03-23,0.5000,20.9400,11.6342,0.0000,3.4060
2023-03-24,7.8900,19.2800,12.9572,1.2700,2.0295
2023-03-25,6.2200,15.0600,11.2504,0.2500,2.5228
2023-03-26,4.0000,15.4400,9.6488,0.5100,3.0497
2023-03-27,0.8900,9.1700,5.1177,0.7600,1.2132
2023-03-28,-4.3300,6.4400,2.0908,0.5100,4.3648
2023-03-29,-7.0000,9.1700,2.1653,0.0000,2.3389
2023-03-30,1.7800,14.2200,8.2272,2.0300,2.3047
2023-03-31,3.0000,18.2200,11.2045,0.0000,2.6972
2023-04-01,7.0600,15.7200,11.2340,0.0000,2.4642
2023-04-02,4.7200,11.7200,8.2309,2.5400,2.2214
2023-04-03,0.0600,6.6700,4.1838,0.0000,4.3750
2023-04-04,-2.3300,6.3300,1.7701,0.0000,5.1409
2023-04-05,-5.5600,7.3900,1.3852,0.0000,4.2559
2023-04-06,-4.3900,10.4400,3.7039,0.0000,4.5478
2023-04-07,2.5000,6.6100,4.5332,3.8100,1.6112
2023-04-08,0.1100,6.3900,3.2437,10.1600,1.2208
2023-04-09,3.0600,10.2200,6.1000,0.5100,2.0156
2023-04-10,2.8900,15.7800,,0.0000,5.1984
2023-04-11,-0.6700,12.1100,5.7354,4.3200,2.1452
2023-04-12,-1.2200,15.5000,8.0045,0.0000,5.2566
2023-04-13,6.4400,10.2200,7.9455,7.6200,1.4816
2023-04-14,3.8300,8.7200,6.5632,35.5600,0.5775
2023-04-15,3.3900,10.8300,6.3298,4.0600,2.1303
2023-04-16,0.2800,13.2200,7.5616,0.2500,3.6463
