Date,Time,Temperature_C,Dew_Point_C,Humidity_%,Wind,Speed_kmh,Gust_kmh,Pressure_hPa,Precip_Rate_mm,Precip_Accum_mm,UV,Solar_w/m2
2021/02/02,12:04 AM,-1.06,-17.44,26.0,ESE,0.0,0.16,1006.77,0.0,0.0,0.0,0.0
2021/02/02,12:09 AM,-0.94,-16.33,24.0,ESE,0.48,0.97,1007.11,0.0,0.0,0.0,0.0
2021/02/02,12:14 AM,-0.94,-14.39,20.0,East,0.8,1.13,1007.11,0.0,0.0,0.0,0.0
2021/02/02,12:19 AM,-1.22,-13.89,19.0,ENE,0.0,0.0,1007.11,0.0,0.0,0.0,0.0
2021/02/02,12:24 AM,-1.17,-14.89,21.0,ESE,0.64,0.97,1007.11,0.0,0.0,0.0,0.0
2021/02/02,12:29 AM,-0.94,-16.5,24.0,ESE,0.32,1.13,1007.11,0.0,0.0,0.0,0.0
2021/02/02,12:34 AM,-0.94,-16.78,25.0,ESE,0.16,0.64,1007.11,0.0,0.0,0.0,0.0
2021/02/02,12:39 AM,-0.89,-17.39,26.0,ESE,0.48,0.97,1007.11,0.0,0.0,0.0,0.0
2021/02/02,12:44 AM,-0.78,-17.72,26.0,ESE,0.97,1.61,1007.11,0.0,0.0,0.0,0.0
2021/02/02,12:49 AM,-0.61,-17.28,27.0,SE,1.45,2.09,1007.45,0.0,0.0,0.0,0.0
2021/02/02,12:54 AM,-0.44,-16.83,28.0,ESE,1.93,2.74,1007.11,0.0,0.0,0.0,0.0
2021/02/02,12:59 AM,-0.28,-16.61,28.0,ESE,1.29,1.93,1007.45,0.0,0.0,0.0,0.0
2021/02/02,01:04 AM,-0.28,-16.56,28.0,ESE,1.13,1.93,1007.45,0.0,0.0,0.0,0.0
2021/02/02,01:09 AM,-0.22,-16.83,27.0,ESE,1.61,2.09,1007.45,0.0,0.0,0.0,0.0
2021/02/02,01:14 AM,-0.22,-16.78,28.0,ESE,2.09,2.9,1007.45,0.0,0.0,0.0,0.0
2021/02/02,01:19 AM,-0.11,-16.89,27.0,ESE,1.45,1.93,1007.45,0.0,0.0,0.0,0.0
2021/02/02,01:24 AM,-0.11,-17.17,26.0,ESE,1.77,2.41,1007.45,0.0,0.0,0.0,0.0
2021/02/02,01:29 AM,-0.11,-17.0,27.0,ESE,1.93,2.74,1007.79,0.0,0.0,0.0,0.0
2021/02/02,01:34 AM,-0.06,-16.89,27.0,ESE,1.93,2.74,1007.79,0.0,0.0,0.0,0.0
2021/02/02,01:39 AM,0.0,-17.39,26.0,ESE,1.61,2.09,1007.79,0.0,0.0,0.0,0.0
2021/02/02,01:44 AM,-0.11,-17.56,25.0,SE,1.77,2.57,1007.79,0.0,0.0,0.0,0.0
2021/02/02,01:49 AM,-0.11,-17.56,25.0,SE,2.57,3.38,1007.79,0.0,0.0,0.0,0.0
2021/02/02,01:54 AM,-0.11,-17.22,24.0,SE,2.41,3.38,1007.79,0.0,0.0,0.0,0.0
2021/02/02,01:59 AM,-0.11,-17.5,24.0,SE,2.74,3.54,1007.79,0.0,0.0,0.0,0.0
2021/02/02,02:04 AM,-0.11,-17.56,25.0,SE,1.93,2.9,1007.79,0.0,0.0,0.0,0.0
2021/02/02,02:09 AM,-0.11,-16.67,23.0,SE,1.61,2.74,1007.79,0.0,0.0,0.0,0.0
2021/02/02,02:14 AM,-0.06,-17.44,24.0,SE,2.74,3.86,1007.79,0.0,0.0,0.0,0.0
2021/02/02,02:19 AM,0.06,-17.28,26.0,SE,3.06,4.02,1007.79,0.0,0.0,0.0,0.0
2021/02/02,02:24 AM,0.11,-17.11,26.0,SE,2.57,3.54,1007.79,0.0,0.0,0.0,0.0
2021/02/02,02:29 AM,0.11,-17.06,26.0,SE,2.25,2.9,1007.79,0.0,0.0,0.0,0.0
2021/02/02,02:34 AM,0.11,-17.22,26.0,ESE,2.41,3.22,1007.79,0.0,0.0,0.0,0.0
2021/02/02,02:39 AM,0.11,-16.83,27.0,SE,2.25,3.22,1007.79,0.0,0.0,0.0,0.0
2021/02/02,02:44 AM,0.11,-17.17,26.0,ESE,1.93,2.57,1007.79,0.0,0.0,0.0,0.0
2021/02/02,02:49 AM,0.11,-16.94,27.0,ESE,2.9,4.18,1007.45,0.0,0.0,0.0,0.0
2021/02/02,02:54 AM,0.11,-16.56,27.0,SE,3.22,4.51,1007.79,0.0,0.0,0.0,0.0
2021/02/02,02:59 AM,0.17,-16.72,27.0,SE,2.41,3.22,1007.79,0.0,0.0,0.0,0.0
2021/02/02,03:04 AM,0.11,-17.22,26.0,SE,2.41,3.38,1007.79,0.0,0.0,0.0,0.0
